year_quarter,station_id,unique_bikes,total_trips,trips_per_bike
2021Q4,3182,937,1872,1.9978655282817503
2021Q4,3183,78,119,1.5256410256410255
2021Q4,3184,446,678,1.5201793721973094
2021Q4,3185,1094,2588,2.36563071297989
2021Q4,3186,56,246,4.392857142857143
2021Q4,3187,647,910,1.4064914992272024
2021Q4,3188,294,405,1.3775510204081634
2021Q4,3190,1225,3676,3.0008163265306123
2021Q4,3192,482,653,1.3547717842323652
2021Q4,3196,47,56,1.1914893617021276
2021Q4,3197,530,762,1.4377358490566037
2021Q4,3200,315,446,1.415873015873016
2021Q4,3201,825,1359,1.6472727272727272
2021Q4,3202,1188,4086,3.4393939393939394
2021Q4,3203,962,2046,2.126819126819127
2021Q4,3204,733,1239,1.69031377899045
2021Q4,3205,730,1195,1.6369863013698631
2021Q4,3206,974,2144,2.2012320328542097
2021Q4,3207,1088,2476,2.275735294117647
2021Q4,3208,1239,3796,3.0637610976594027
2021Q4,3209,520,800,1.5384615384615385
2021Q4,3210,380,594,1.563157894736842
2021Q4,3211,587,885,1.5076660988074957
2021Q4,3212,859,2084,2.4260768335273575
2021Q4,3226,182,248,1.3626373626373627
2021Q4,3233,510,748,1.4666666666666666
2021Q4,3234,756,1196,1.582010582010582
2021Q4,3235,684,1135,1.659356725146199
2021Q4,3236,529,782,1.4782608695652173
2021Q4,3237,283,405,1.431095406360424
2021Q4,3238,1066,2271,2.130393996247655
2021Q4,3240,85,130,1.5294117647058822
2021Q4,3241,240,352,1.4666666666666666
2021Q4,3243,67,88,1.3134328358208955
2021Q4,3244,1053,2394,2.2735042735042734
2021Q4,3245,699,1245,1.7811158798283262
2021Q4,3246,299,412,1.3779264214046822
2021Q4,3247,117,153,1.3076923076923077
2021Q4,3248,596,931,1.5620805369127517
2021Q4,3249,702,1420,2.022792022792023
2021Q4,3250,325,421,1.2953846153846154
