station_id,normalized_score,station_type
3267,35.40393460038244,Non-Expansion
3268,-75.28772253882379,Non-Expansion
3272,-49.33596641819826,Non-Expansion
3275,-44.77483814616685,Non-Expansion
3276,-30.07920950234233,Non-Expansion
3277,110.5023908340807,Non-Expansion
3279,-91.13768056216735,Non-Expansion
3282,-98.57901547207638,Non-Expansion
3283,-9.521098862182685,Non-Expansion
3285,-71.54986042693372,Non-Expansion
3286,-63.83107452207541,Non-Expansion
3287,-113.56691610592539,Non-Expansion
3292,20.73929600822819,Non-Expansion
3294,44.101995402453305,Non-Expansion
3295,97.2285331166166,Expansion Recommended
3296,171.65155344624426,Expansion Recommended
3297,-74.02120794687862,Non-Expansion
3299,41.98925743956584,Non-Expansion
3300,-70.03323842435374,Non-Expansion
3301,-58.784516650344365,Expansion Recommended
